HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Tweet,Answer.Tweet,Answer.Extreme,Input.QC_liberal,Input.QC_conservative,Input.QC_neither,Answer.QC_liberal,Answer.Q_conservative,Answer.QC_neither
664920,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2031,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2031,,,e5d503a3-0cc7-4b40-8f41-da1f2c703ade,5c93f133-156f-4e51-9e70-300fa28df1ba,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2031,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Conservative,Conservative,Neither
6294838,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2032,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2032,,,e1086e00-559f-426d-81a1-b9d843426645,e0a6b76e-be5a-4186-9c64-3690fbf598a7,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2032,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Conservative,Conservative,Neither
9102689,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2033,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2033,,,c0d25c61-8646-4cf3-b396-71e82a63a176,6fc08902-c136-42e0-bbe4-6a27212266a2,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2033,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
342205,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2034,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2034,,,cca1b1b6-8887-442f-b98d-93d4891a4f2d,ec6e9ce2-4ec6-467c-9588-080103f4972e,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2034,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
7729038,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2035,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2035,,,9849ecb3-32ea-46dc-ac9c-ea96388da924,28d32213-eccd-44a9-8337-371ac09acbcd,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2035,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
4720795,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2036,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2036,,,fda61c42-d4b1-440a-9149-22ca550d470f,4e2122b6-c582-4a66-93da-29308953924b,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2036,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
2695181,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2037,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2037,,,744c56bd-a1d7-4d07-b08a-8c5007db34c2,2e559c8b-2aba-43ff-adfb-f3db8f2f1128,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2037,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
6832229,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2038,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2038,,,bc1a6776-28dd-4d70-bb76-9bf8e3f76cc5,f246157f-7fe5-415e-95fe-7321493930cb,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2038,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
9101527,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2039,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2039,,,0813580c-a338-4e68-8946-8f3be064bc6a,a5c58a79-49c6-4f45-ae1f-8c0cb6ab8e07,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2039,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
1866371,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2040,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2040,,,79f2b74b-9a2b-4c00-be92-9b92c38ab055,8896da91-9eaf-4d87-b269-634dd47e1295,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2040,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
5446239,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2021,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2021,,,7e5692c3-8955-4d9b-bce3-b18c27276270,ec6e9ce2-4ec6-467c-9588-080103f4972e,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2021,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Conservative,Conservative,Neither
5541756,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2022,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2022,,,b8dd54b1-2ccf-4ebd-801b-04e8cb9d3b73,5c93f133-156f-4e51-9e70-300fa28df1ba,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2022,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
4284443,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2023,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2023,,,5d348f5d-2485-4f61-abc9-223c25328a6d,gb30f790-ee8e-4523-ad1e-0a3b782c6203,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2023,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
3295865,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2024,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2024,,,cf80981b-68b1-4856-b8b4-febe184732d1,bd9c69fe-8b23-4287-8f01-7067ab18883e,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2024,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
7401433,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2025,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2025,,,9cfd4574-5134-4518-b082-7a9cec9ef5eb,8896da91-9eaf-4d87-b269-634dd47e1295,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2025,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Conservative
2493081,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2026,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2026,,,70cef7ba-e5f6-4fdb-a495-c73831db4650,5c93f133-156f-4e51-9e70-300fa28df1ba,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2026,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
7644757,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2027,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2027,,,84893e2d-12b6-4216-a46e-88ae67c64d49,311352c1-c943-4966-9f4c-cddf42bae268,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2027,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
4744553,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2028,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2028,,,d5ab0495-c535-4b85-81b1-1d9ea40d0290,14053592-22a0-48b6-a0a1-667e4963ab7b,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2028,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
4810179,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2029,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2029,,,cecb8387-0ec7-47ce-8d37-97eff09e7be0,6a59a3bf-bcb5-4bcc-94cb-2d69fe5b2766,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2029,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
